assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
0,30,0,0,-0.178571429,-4.928571429,-0.142857143,4,19,-4.203571429,0,0,0,0,-0.178571429,-1,-1.360714286,-4.007142857,0,0,0,11.25,0,0,13,0,0,0,0,8,0,0,151298,0,0,0,0,1,-5.642857143,2,-1383,6083,7466,45,0,0,-0.071428571,1,0,2.6,78.75,1.178571429,4.803571429,15.20714286,5.642857143,0.178571429,14.92857143,2.560714286,0.142857143,0,0.071428571,2.5,15,1
-0.035714286,24,0,1,2.607142857,32.92857143,-0.142857143,0,18,-5.764285714,0,0,0,1,0.035714286,-8,7.064285714,45.4,0,0,0,32.78571429,0,0,7,0,0,0,0,2,0,0,234688,4,0,2,3,1,31.07142857,12,5966,7289,1323,107,0,1,0.892857143,10,0.035714286,3.7,57.21428571,0.964285714,8.564285714,15.8,28.92857143,0.392857143,11.07142857,5.335714286,0.142857143,0,0.107142857,3.9,12,1
-0.25,31,0,0,-0.785714286,-15.07142857,0.714285714,1,24,-8.482142857,2,0,0,2,-1.107142857,-10,-6.335714286,-21.35714286,0,0,0,-3.642857143,1,0,10,0,0,0,0,1,0,0,2224505,5,0,1,0,1,-34.10714286,2,169150,185211,16061,69,0,0,-0.107142857,10,0.25,4.8,81.64285714,1.107142857,17.78214286,21.55714286,38.10714286,0.785714286,16.07142857,7.735714286,0.285714286,0,0.107142857,35.8,12,1
0,0,0,0,0,-1.607142857,-0.035714286,0,0,-0.985714286,0,0,0,0,-0.214285714,0,-0.314285714,-1.285714286,0,0,0,-10.85714286,0,0,7,0,0,0,0,0,0,0,13098,0,0,0,3,1,-0.857142857,0,953,1132,179,45,0,0,-0.071428571,0,0,1.3,10.85714286,0.214285714,0.985714286,1.285714286,0.857142857,0,1.607142857,0.314285714,0.035714286,0,0.071428571,0.2,12,1
-0.107142857,31,0,0,-0.321428571,-2.464285714,-0.178571429,2,26,-1.014285714,0,0,0,1,1.857142857,-7,-3.167857143,-5.842857143,1,0,0,-1.785714286,0,0,12,0,0,0,0,2,0,0,283965,1,0,1,0,5,-24.92857143,2,823,14231,13408,59,0,0,-0.107142857,7,0.107142857,3.6,73.78571429,1.142857143,15.01428571,16.84285714,27.92857143,0.321428571,11.46428571,5.967857143,0.178571429,0,0.107142857,4.6,11,1
-0.178571429,29,1,0,-0.214285714,-3.642857143,0.785714286,0,26,3.403571429,2,0,0,1,-0.714285714,-5,0.503571429,-5.235714286,1,0,0,10,2,0,10,0,0,0,0,2,0,0,232452,4,0,0,0,1,6.892857143,3,2466,15729,13263,61,0,0,-0.25,5,0.178571429,3.7,55,0.714285714,10.39642857,11.43571429,19.10714286,0.214285714,8.642857143,4.096428571,0.214285714,0,0.25,3.7,11,1
0,29,0,0,-0.25,-11.07142857,-0.321428571,1,24,0,0,0,1,0,1.142857143,0,-2.017857143,-20.36428571,0,0,0,12.85714286,0,0,6,0,0,0,0,8,0,0,344975,0,0,0,0,2,0,1,-16283,2050,18333,55,0,0,0,0,0,4.4,77.14285714,0.857142857,0,22.16428571,0,0.25,18.07142857,2.217857143,0.321428571,0,0,5.5,10,1
0,24,0,0,-0.25,-4.142857143,-0.142857143,0,17,0,0,0,0,0,0.714285714,0,-0.592857143,-5.714285714,0,0,0,16.07142857,0,0,11,0,0,0,0,4,0,1,179715,0,0,0,1,2,0,1,1277,3624,2347,44,0,0,-0.035714286,0,0,3.1,73.92857143,1.285714286,0,16.91428571,0,0.25,13.14285714,1.692857143,0.142857143,0,0.035714286,2.9,9,1
-0.071428571,47,0,0,-0.214285714,-5.678571429,-0.178571429,4,33,-1.103571429,1,0,0,1,0.714285714,-5,-1.646428571,-15.37142857,0,0,0,15.10714286,0,0,11,0,0,0,0,6,-0.035714286,0,355776,0,0,3,1,2,0.357142857,1,31896,36806,4910,46,0,0,-0.142857143,5,0.071428571,3.7,74.89285714,1.285714286,1.803571429,25.97142857,13.64285714,0.214285714,14.67857143,4.146428571,0.178571429,0.035714286,0.142857143,5.8,9,1
-0.178571429,27,0,0,-0.321428571,-9.107142857,-0.25,0,21,-5.664285714,5,0,0,1,1.75,-7,-0.525,-7.342857143,1,0,0,13.10714286,1,0,14,0,0,0,0,4,-0.035714286,0,730227,6,0,1,3,1,8.071428571,1,52767,58998,6231,67,1,0,0.75,7,0.178571429,3.8,76.89285714,1.25,19.16428571,18.14285714,31.92857143,0.321428571,10.10714286,6.925,0.25,0.035714286,0.25,12,9,1
2.785714286,79,3,0,2.607142857,55.71428571,0.607142857,1,64,55.375,0,0,0,0,-0.285714286,-1,11.05,55.58571429,5,0,0,32.67857143,0,3,18,0,0,0,0,6,0,0,880531,0,2,0,0,5,-0.714285714,18,57407,68218,10811,52,1,0,-0.107142857,1,0.214285714,5.9,57.32142857,0.285714286,16.425,15.41428571,6.714285714,0.392857143,16.28571429,3.85,0.392857143,0,0.107142857,15.3,9,1
0,52,0,0,-0.035714286,4.678571429,0.571428571,6,44,-9.171428571,0,0,0,0,-0.964285714,-1,-0.475,7.057142857,0,0,0,9.571428571,0,0,17,0,0,0,0,13,0,0,348705,2,2,0,0,2,-2.607142857,3,-1685,2869,4554,46,1,0,-0.178571429,1,0,2.5,80.42857143,0.964285714,14.97142857,17.14285714,2.607142857,0.035714286,14.32142857,3.475,0.428571429,0,0.178571429,5.6,9,1
-0.107142857,67,0,0,1.464285714,29.32142857,0.464285714,11,60,-1.582142857,0,0,0,0,-0.535714286,-1,10.33571429,66.92857143,0,0,0,1.285714286,0,0,18,0,0,0,0,8,0,0,1762402,1,1,0,0,5,38.35714286,20,32036,42299,10263,65,1,0,-0.035714286,3,0.107142857,5.5,88.71428571,0.535714286,2.482142857,26.47142857,13.64285714,0.535714286,24.67857143,4.264285714,0.535714286,0,0.035714286,28.7,8,1
0,26,0,0,-0.285714286,6.357142857,0.428571429,0,18,-0.003571429,0,0,0,0,-0.535714286,0,0.95,9.057142857,0,0,0,0,0,0,18,0,0,0,0,9,0,3,1524853,0,0,0,0,5,0,7,8118,15970,7852,60,1,0,0,0,0,4.8,90,0.535714286,0.003571429,18.54285714,0,0.285714286,20.64285714,1.85,0.571428571,0,0,24.5,8,1
-0.214285714,0,0,0,-0.035714286,-7.571428571,-0.178571429,0,0,-11.21428571,0,0,0,0,-0.464285714,-2,-3.510714286,-10.46428571,0,0,0,-35,0,0,2,0,0,0,0,0,0,0,57451,0,0,0,1,5,-13.35714286,0,-412,665,1077,71,1,0,0,2,0.214285714,2.8,35,0.464285714,11.21428571,10.46428571,13.35714286,0.035714286,7.571428571,3.510714286,0.178571429,0,0,0.9,8,1
-0.107142857,17,0,0,1.392857143,17.82142857,-0.285714286,0,13,4.639285714,0,0,0,2,0,-8,3.685714286,13.77857143,1,0,0,24.46428571,0,0,3,0,0,0,0,1,-0.035714286,0,304895,0,1,2,1,2,17.96428571,7,47289,58259,10970,88,1,1,0.892857143,9,0.107142857,4.1,65.53571429,1,9.160714286,16.02142857,27.03571429,0.607142857,11.17857143,5.214285714,0.285714286,0.035714286,0.107142857,5.1,8,1
